case_subset,recovered_at_10,recovery@10,retriever,total_cases
union_hard_cases,164,0.6188679245283019,bm25,265
union_hard_cases,147,0.5547169811320755,dense,265
union_hard_cases,213,0.8037735849056604,hybrid,265
retriever_originally_failed,20,0.1652892561983471,bm25,121
retriever_originally_failed,51,0.30177514792899407,dense,169
retriever_originally_failed,27,0.34177215189873417,hybrid,79
all_retrievers_originally_failed,4,0.18181818181818182,bm25,22
all_retrievers_originally_failed,7,0.3181818181818182,dense,22
all_retrievers_originally_failed,6,0.2727272727272727,hybrid,22
